Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 15.61      0.27     0.27      231     0.00     0.00  getCMBRLayerWCount(std::vector<mbr, std::allocator<mbr> >, std::vector<mbr, std::allocator<mbr> >)
 15.03      0.53     0.26 170301016     0.00     0.00  std::vector<mbr, std::allocator<mbr> >::operator[](unsigned int)
 12.14      0.74     0.21 21287627     0.00     0.00  calculateCMBR(float, float, float, float, float, float, float, float)
  6.36      0.85     0.11 21658755     0.00     0.00  std::vector<mbr, std::allocator<mbr> >::size() const
  5.20      0.94     0.09 32307696     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  4.91      1.02     0.09 42575254     0.00     0.00  getMax(float, float)
  4.05      1.09     0.07 37397745     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned int)
  4.05      1.17     0.07 18551882     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned int)
  3.47      1.23     0.06 42575254     0.00     0.00  getMin(float, float)
  3.47      1.28     0.06 21289534     0.00     0.00  mbr::mbr()
  2.31      1.32     0.04 17747019     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  2.31      1.36     0.04      148     0.00     0.00  instanceCombinationBuild(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >)
  1.73      1.40     0.03 10161987     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  1.73      1.43     0.03    83003     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
  1.16      1.45     0.02 19768061     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.16      1.47     0.02 12234556     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  1.16      1.49     0.02  1523285     0.00     0.00  __gnu_cxx::__normal_iterator<mbr const*, std::vector<mbr, std::allocator<mbr> > >::operator++()
  0.58      1.50     0.01 12342802     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.58      1.50     0.01  6831457     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.58      1.51     0.01  3821454     0.00     0.00  std::remove_reference<int*&>::type&& std::move<int*&>(int*&)
  0.58      1.52     0.01  3395848     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int> >, std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.58      1.53     0.01  3395848     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.58      1.54     0.01  2458518     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.58      1.55     0.01  2359555     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.58      1.56     0.01  2261852     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.58      1.57     0.01  1955932     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.58      1.58     0.01  1781293     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.58      1.59     0.01  1426782     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.58      1.60     0.01  1331076     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.58      1.61     0.01  1273818     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<int*> >, std::is_move_constructible<int*>, std::is_move_assignable<int*> >::value, void>::type std::swap<int*>(int*&, int*&)
  0.58      1.62     0.01  1117203     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.58      1.64     0.01  1116119     0.00     0.00  void std::_Destroy<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*)
  0.58      1.65     0.01  1096603     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.58      1.66     0.01  1092408     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned int, std::allocator<int> const&)
  0.58      1.67     0.01  1092408     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.58      1.68     0.01   446632     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator+(int) const
  0.58      1.69     0.01   434396     0.00     0.00  bool std::operator==<std::vector<int, std::allocator<int> >*>(std::move_iterator<std::vector<int, std::allocator<int> >*> const&, std::move_iterator<std::vector<int, std::allocator<int> >*> const&)
  0.58      1.70     0.01   334392     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.58      1.71     0.01    97073     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_range_insert<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::forward_iterator_tag)
  0.58      1.72     0.01    83003     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__unguarded_partition_pivot<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.58      1.73     0.01      630     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__unique<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equal_to_iter>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__ops::_Iter_equal_to_iter)
  0.29      1.73     0.01      492     0.00     0.00  print_time(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.73     0.00  6412737     0.00     0.00  operator new(unsigned int, void*)
  0.00      1.73     0.00  5974564     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      1.73     0.00  3569546     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      1.73     0.00  3395848     0.00     0.00  bool __gnu_cxx::operator< <int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.73     0.00  3192941     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      1.73     0.00  3048420     0.00     0.00  __gnu_cxx::__normal_iterator<mbr const*, std::vector<mbr, std::allocator<mbr> > >::base() const
  0.00      1.73     0.00  2836403     0.00     0.00  mbr const& std::forward<mbr const&>(std::remove_reference<mbr const&>::type&)
  0.00      1.73     0.00  2799651     0.00     0.00  std::vector<std::vector<cmbr_comb, std::allocator<cmbr_comb> >, std::allocator<std::vector<cmbr_comb, std::allocator<cmbr_comb> > > >::operator[](unsigned int)
  0.00      1.73     0.00  2798928     0.00     0.00  std::vector<cmbr_comb, std::allocator<cmbr_comb> >::operator[](unsigned int)
  0.00      1.73     0.00  2609422     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      1.73     0.00  2455807     0.00     0.00  mbr* std::__addressof<mbr>(mbr&)
  0.00      1.73     0.00  2335809     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      1.73     0.00  2261852     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      1.73     0.00  2209611     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      1.73     0.00  1874208     0.00     0.00  std::move_iterator<mbr*>::base() const
  0.00      1.73     0.00  1781293     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      1.73     0.00  1781293     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.73     0.00  1545082     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.00      1.73     0.00  1541577     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      1.73     0.00  1524210     0.00     0.00  bool __gnu_cxx::operator!=<mbr const*, std::vector<mbr, std::allocator<mbr> > >(__gnu_cxx::__normal_iterator<mbr const*, std::vector<mbr, std::allocator<mbr> > > const&, __gnu_cxx::__normal_iterator<mbr const*, std::vector<mbr, std::allocator<mbr> > > const&)
  0.00      1.73     0.00  1523285     0.00     0.00  __gnu_cxx::__normal_iterator<mbr const*, std::vector<mbr, std::allocator<mbr> > >::operator*() const
  0.00      1.73     0.00  1523285     0.00     0.00  void std::_Construct<mbr, mbr const&>(mbr*, mbr const&)
  0.00      1.73     0.00  1517014     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.73     0.00  1426782     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.73     0.00  1426782     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      1.73     0.00  1370894     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      1.73     0.00  1329750     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      1.73     0.00  1130926     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      1.73     0.00  1130926     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      1.73     0.00  1130926     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00      1.73     0.00  1128506     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned int)
  0.00      1.73     0.00  1117927     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      1.73     0.00  1117203     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.73     0.00  1117203     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      1.73     0.00  1117203     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      1.73     0.00  1106624     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      1.73     0.00  1103711     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned int, void const*)
  0.00      1.73     0.00  1103711     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned int)
  0.00      1.73     0.00  1103711     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned int)
  0.00      1.73     0.00  1098002     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<int, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(int&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
  0.00      1.73     0.00  1096603     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.73     0.00  1096603     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.73     0.00  1096603     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.73     0.00  1096603     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      1.73     0.00  1092408     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.00      1.73     0.00  1092408     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      1.73     0.00  1092408     0.00     0.00  std::allocator<int>::~allocator()
  0.00      1.73     0.00  1092408     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      1.73     0.00  1092408     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned int)
  0.00      1.73     0.00  1092408     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      1.73     0.00   937651     0.00     0.00  mbr&& std::forward<mbr>(std::remove_reference<mbr>::type&)
  0.00      1.73     0.00   937104     0.00     0.00  bool std::operator==<mbr*>(std::move_iterator<mbr*> const&, std::move_iterator<mbr*> const&)
  0.00      1.73     0.00   937104     0.00     0.00  bool std::operator!=<mbr*>(std::move_iterator<mbr*> const&, std::move_iterator<mbr*> const&)
  0.00      1.73     0.00   932522     0.00     0.00  std::move_iterator<mbr*>::operator*() const
  0.00      1.73     0.00   932522     0.00     0.00  std::move_iterator<mbr*>::operator++()
  0.00      1.73     0.00   932522     0.00     0.00  void std::_Construct<mbr, mbr>(mbr*, mbr&&)
  0.00      1.73     0.00   927615     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equal_to_iter::operator()<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >) const
