Total rows: 1676,,,
800 600,,,
1676,,,
mbr array constructed,,,
r,c,f,count
0,288,5,1
0,305,0,1
1,308,5,1
2,549,4,2
2,549,10,1
2,549,11,1
4,303,0,2
4,303,10,2
4,303,11,4
4,396,2,1
4,396,4,1
4,396,5,1
4,396,10,3
4,396,11,1
4,396,12,1
4,406,0,2
4,406,4,11
4,406,8,1
4,406,9,8
4,406,10,4
4,406,11,1
4,406,12,1
4,416,11,1
4,447,3,1
4,447,4,1
4,457,4,12
4,457,5,1
4,457,6,4
4,457,7,2
4,457,10,16
4,457,11,1
4,457,12,1
5,488,0,2
5,488,4,1
5,488,5,2
5,488,8,1
5,488,10,2
5,498,1,1
5,498,4,2
5,498,10,1
5,498,11,2
5,508,10,1
5,513,2,1
5,513,3,1
5,519,1,2
5,519,3,1
5,519,5,1
5,519,7,1
5,519,10,3
5,528,2,2
5,528,3,3
5,528,4,12
5,528,5,1
5,528,6,1
5,528,10,6
5,528,11,1
5,539,0,1
5,539,1,1
5,539,4,9
5,539,5,1
5,539,8,1
5,539,10,3
5,539,11,1
5,559,1,4
5,559,2,3
5,559,3,3
5,559,4,20
5,559,5,2
5,559,6,1
5,559,10,5
5,559,11,1
5,569,0,1
5,569,1,1
5,569,2,2
5,569,3,1
5,569,4,5
5,569,6,1
5,569,7,5
5,569,8,1
5,569,10,12
5,569,11,3
5,578,1,2
5,578,2,1
5,578,4,3
5,578,7,1
5,578,10,1
5,578,11,1
5,586,4,1
5,595,2,1
5,595,5,1
7,272,5,2
7,310,1,1
7,319,10,1
8,549,1,1
8,549,4,1
8,549,10,1
8,552,10,1
12,285,10,1
14,381,5,1
14,381,10,1
14,401,2,1
14,401,10,1
14,406,3,1
14,406,4,2
14,406,11,2
14,411,5,2
14,416,11,1
14,424,0,1
14,424,1,1
14,424,2,1
14,452,0,1
14,452,2,2
14,452,5,1
14,452,10,1
15,299,2,1
15,299,3,1
15,299,5,2
15,478,4,2
15,478,11,1
15,483,6,1
15,488,0,1
15,488,9,1
15,498,10,1
